winning_team,country
England,Scotland
England,England
Scotland,Scotland
Scotland,England
Scotland,Scotland
Scotland,Scotland
Scotland,England
Scotland,Scotland
Scotland,Scotland
England,England
England,England
Scotland,Scotland
Scotland,Scotland
Wales,England
Scotland,England
England,Ireland
Scotland,Scotland
Scotland,Scotland
England,England
England,England
Scotland,England
Wales,Ireland
Scotland,Ireland
England,Ireland
Scotland,Scotland
Scotland,Scotland
England,England
Wales,England
Scotland,Scotland
Scotland,England
Wales,Ireland
England,Ireland
Scotland,Ireland
England,Scotland
Scotland,Scotland
England,England
Scotland,Scotland
England,England
Northern Ireland,Ireland
Scotland,England
England,England
Scotland,Scotland
England,Scotland
Scotland,Ireland
England,Ireland
Scotland,Scotland
England,England
England,England
Scotland,Scotland
Scotland,England
Wales,Ireland
Wales,England
England,Ireland
Scotland,Scotland
Scotland,Ireland
England,Scotland
Northern Ireland,Ireland
England,England
England,England
Scotland,Scotland
England,England
England,Ireland
Scotland,Ireland
Scotland,Scotland
England,Scotland
England,England
England,England
Scotland,Scotland
England,England
England,Ireland
Scotland,Scotland
Scotland,Ireland
England,Scotland
England,England
Wales,Ireland
Wales,England
Scotland,Scotland
England,England
England,Ireland
Scotland,Scotland
Scotland,Ireland
Scotland,Scotland
England,England
Northern Ireland,Ireland
Scotland,Scotland
England,England
Scotland,England
England,Ireland
Scotland,Scotland
Scotland,Ireland
England,Scotland
England,England
Northern Ireland,Ireland
England,England
Scotland,Scotland
England,England
Scotland,Scotland
Scotland,Ireland
England,Ireland
Scotland,Scotland
Scotland,Scotland
England,England
England,England
Wales,Ireland
Scotland,England
Scotland,Ireland
Scotland,Scotland
England,Ireland
Scotland,England
England,England
England,England
Northern Ireland,Scotland
Northern Ireland,Ireland
Scotland,England
England,Ireland
Wales,Scotland
Scotland,Ireland
England,Scotland
Northern Ireland,England
Scotland,Scotland
England,England
England,England
Wales,Ireland
England,Ireland
Wales,Scotland
Scotland,Ireland
Scotland,Scotland
England,England
Wales,Ireland
Scotland,Scotland
Wales,England
Scotland,England
England,Ireland
Scotland,Scotland
France,Switzerland
Scotland,Ireland
England,Scotland
Switzerland,Switzerland
Sweden,Sweden
England,England
England,England
Scotland,Scotland
Wales,Ireland
England,England
England,Ireland
Scotland,Scotland
Northern Ireland,Ireland
Scotland,Scotland
Germany,Switzerland
Switzerland,Switzerland
Wales,Ireland
England,England
England,England
Scotland,Scotland
Scotland,England
Switzerland,Switzerland
Switzerland,Switzerland
Germany,Sweden
Sweden,Sweden
Sweden,Finland
England,Ireland
Scotland,Scotland
Scotland,Ireland
England,Scotland
Germany,Switzerland
Hungary,Sweden
Sweden,Sweden
Austria,Sweden
Norway,Sweden
Hungary,Sweden
Norway,Sweden
Netherlands,Sweden
Sweden,Sweden
Catalonia,Spain
Wales,Ireland
Northern Ireland,Ireland
France,Switzerland
Scotland,Ireland
England,England
England,England
Belgium,Switzerland
Sweden,Sweden
Denmark,Sweden
Northern Ireland,England
Wales,Scotland
Scotland,Ireland
Scotland,Scotland
Italy,Switzerland
Sweden,Sweden
Hungary,Sweden
Russia,Sweden
Sweden,Sweden
Basque Country,Spain
Basque Country,Spain
Basque Country,Spain
Philippines,China PR
China PR,China PR
Sweden,Sweden
Denmark,Sweden
Basque Country,Spain
Basque Country,Spain
Basque Country,Spain
Sweden,Sweden
United States,Sweden
Sweden,Sweden
Philippines,Japan
China PR,Japan
Philippines,Japan
China PR,Japan
Norway,Sweden
Denmark,Sweden
Austria,Switzerland
Switzerland,Switzerland
Sweden,Sweden
Denmark,Sweden
Brazil,Brazil
China PR,China PR
Uruguay,Brazil
Philippines,China PR
China PR,China PR
Uruguay,Brazil
Brazil,Brazil
Argentina,Brazil
Uruguay,Brazil
Brazil,Brazil
Sweden,Sweden
Argentina,Brazil
Sweden,Sweden
Norway,Sweden
Sweden,Finland
Sweden,Sweden
England,Ireland
Wales,Ireland
France,Switzerland
Scotland,Scotland
Wales,England
Switzerland,Switzerland
England,England
Switzerland,Switzerland
Sweden,Sweden
Switzerland,Sweden
Switzerland,Switzerland
Finland,Finland
Norway,Sweden
Denmark,Sweden
Finland,Finland
England,England
Scotland,Scotland
Scotland,Ireland
Catalonia,Spain
Catalonia,Spain
Scotland,Scotland
Austria,Switzerland
Finland,Sweden
Philippines,China PR
Philippines,China PR
China PR,China PR
China PR,China PR
China PR,China PR
Austria,Sweden
Austria,Finland
Germany,Finland
Norway,Sweden
Denmark,Sweden
England,Ireland
Italy,Switzerland
Spain,Spain
Scotland,Scotland
England,England
Scotland,England
Hungary,Poland
Poland,Sweden
Sweden,Finland
New Zealand,New Zealand
Australia,New Zealand
New Zealand,New Zealand
Hungary,Sweden
Hungary,Finland
Finland,Finland
Czechoslovakia,Sweden
Norway,Sweden
Norway,Finland
Chile,Brazil
Uruguay,Brazil
Paraguay,Brazil
Argentina,Brazil
Uruguay,Brazil
Paraguay,Brazil
Uruguay,Brazil
Paraguay,Brazil
Brazil,Brazil
Argentina,Brazil
England,England
Brazil,Brazil
Brazil,Brazil
Brazil,Brazil
Switzerland,Switzerland
Galicia,Spain
Spain,Portugal
Galicia,Spain
Switzerland,Switzerland
Spain,Spain
Asturias,Spain
Scotland,Northern Ireland
Hungary,Switzerland
Scotland,Scotland
England,England
England,Scotland
England,Sweden
China PR,Japan
China PR,Japan
Philippines,Japan
China PR,Japan
England,Sweden
China PR,Japan
Yugoslavia,Poland
Germany,Switzerland
Sweden,Sweden
Sweden,Sweden
Sweden,Sweden
Romania,Poland
Finland,Finland
Denmark,Sweden
Northern Ireland,Northern Ireland
Sweden,Poland
Central Spain,Spain
Spain,Spain
Scotland,Scotland
Wales,England
Spain,Spain
Wales,Northern Ireland
Switzerland,Switzerland
Scotland,England
Switzerland,Switzerland
Sweden,Sweden
Switzerland,Switzerland
United States,Poland
Basque Country,Spain
Turkey,Finland
Poland,Poland
Sweden,Sweden
Sweden,Sweden
Sweden,Finland
Poland,Poland
Finland,Finland
Finland,Finland
Sweden,Sweden
South Africa,Northern Ireland
England,England
Russia,Soviet Union
England,England
Spain,Spain
Scotland,Scotland
Scotland,Northern Ireland
Scotland,Scotland
Switzerland,Switzerland
Belgium,Switzerland
Spain,Switzerland
Sweden,Sweden
Spain,Spain
Denmark,Sweden
Portugal,Portugal
Sweden,Sweden
Germany,Finland
Austria,Sweden
Austria,Finland
Sweden,Sweden
Hungary,Poland
Finland,Finland
Poland,Finland
England,Northern Ireland
Germany,Switzerland
Sweden,Poland
Switzerland,Switzerland
Catalonia,Spain
Northern Ireland,Northern Ireland
Scotland,Scotland
Wales,England
Scotland,England
Italy,Switzerland
Norway,Finland
Sweden,Sweden
Czechoslovakia,Sweden
Finland,Finland
Poland,Poland
Sweden,Sweden
Sweden,Finland
Poland,Poland
Estonia,Finland
Poland,Poland
Sweden,Sweden
Northern Ireland,England
Scotland,Scotland
Spain,Spain
Hungary,Portugal
Italy,Switzerland
Scotland,Northern Ireland
Portugal,Portugal
England,Scotland
Spain,Spain
Sweden,Sweden
Austria,Switzerland
Sweden,Sweden
Denmark,Sweden
Canada,New Zealand
Sweden,Sweden
Canada,New Zealand
New Zealand,New Zealand
Canada,New Zealand
China PR,China PR
China PR,China PR
Japan,China PR
Japan,China PR
China PR,China PR
China PR,China PR
Sweden,Sweden
Finland,Finland
Northern Ireland,Northern Ireland
Sweden,Switzerland
Wales,England
Spain,Portugal
Wales,Northern Ireland
Northern Ireland,Scotland
Switzerland,Switzerland
Scotland,England
Argentina,Portugal
Portugal,Portugal
Germany,Switzerland
Italy,Spain
Switzerland,Switzerland
Norway,Finland
Sweden,Sweden
United States,Poland
Poland,Poland
Austria,Sweden
Estonia,Finland
Belarus,Soviet Union
Ukraine,Soviet Union
Finland,Soviet Union
Sweden,Finland
Sweden,Sweden
Italy,Switzerland
England,England
Scotland,Scotland
El Salvador,El Salvador
Scotland,Northern Ireland
Spain,Spain
Scotland,Scotland
Spain,Spain
Hungary,Switzerland
El Salvador,El Salvador
Czechoslovakia,Switzerland
Spain,Spain
Sweden,Sweden
Sweden,Sweden
Sweden,Sweden
Sweden,Sweden
Sweden,Sweden
Finland,Finland
Finland,Finland
England,Northern Ireland
Austria,Switzerland
England,England
Spain,Spain
Portugal,Portugal
Northern Ireland,Northern Ireland
Scotland,Scotland
Portugal,Portugal
England,England
Hungary,Switzerland
Germany,Switzerland
Japan,Japan
China PR,Japan
China PR,Japan
China PR,Japan
China PR,Japan
Basque Country,Spain
Sweden,Sweden
Denmark,Finland
Sweden,Sweden
Brazil,Brazil
Brazil,Brazil
Brazil,Brazil
Sweden,Finland
Poland,Sweden
England,England
Wales,Scotland
Poland,Poland
Switzerland,Switzerland
Spain,Portugal
Basque Country,Spain
Scotland,Northern Ireland
Scotland,Scotland
Italy,Switzerland
Italy,Portugal
Italy,Spain
Republic of Ireland,Spain
Scotland,Switzerland
Portugal,Portugal
Czechoslovakia,Poland
Finland,Finland
Germany,Sweden
Sweden,Sweden
Sweden,Sweden
Sweden,Sweden
Sweden,Sweden
Finland,Finland
Romania,Poland
Brazil,Brazil
Norway,Finland
Scotland,Scotland
England,Northern Ireland
Poland,Poland
England,England
Austria,Switzerland
Northern Ireland,Northern Ireland
England,England
Hungary,Egypt
France,Switzerland
England,England
Switzerland,Switzerland
Spain,Spain
Portugal,Portugal
Sweden,Sweden
Sweden,Finland
Sweden,Sweden
Switzerland,Switzerland
Germany,Finland
Norway,Sweden
Poland,Poland
Austria,Sweden
Finland,Finland
Scotland,Northern Ireland
Sweden,Sweden
Poland,Poland
England,England
Wales,Scotland
Switzerland,Switzerland
England,England
Portugal,Portugal
Belgium,Switzerland
Scotland,Scotland
Spain,Spain
Italy,Switzerland
Switzerland,Switzerland
England,Switzerland
Spain,Spain
Belgium,Poland
Sweden,Sweden
Denmark,Sweden
Sweden,Sweden
Sweden,Sweden
Finland,Finland
Finland,Finland
Norway,Finland
Poland,Poland
Northern Ireland,Scotland
Poland,Poland
England,Northern Ireland
Czechoslovakia,Poland
Romania,Switzerland
Wales,Northern Ireland
Wales,England
Germany,Switzerland
Austria,Scotland
England,England
Spain,Spain
Spain,Spain
Egypt,Egypt
Spain,Portugal
Austria,Switzerland
England,England
Sweden,Sweden
Catalonia,Spain
Brazil,Spain
Norway,Sweden
Finland,Finland
Germany,Poland
Finland,Finland
Sweden,Sweden
Romania,Poland
Czechoslovakia,Switzerland
Northern Ireland,Northern Ireland
Netherlands,Switzerland
England,England
Scotland,Scotland
Spain,Spain
England,England
El Salvador,El Salvador
Costa Rica,El Salvador
Cuba,El Salvador
Mexico,El Salvador
Cuba,El Salvador
Honduras,El Salvador
Mexico,El Salvador
Mexico,El Salvador
Costa Rica,El Salvador
Guatemala,El Salvador
Costa Rica,El Salvador
Mexico,El Salvador
Mexico,El Salvador
Costa Rica,El Salvador
El Salvador,El Salvador
Scotland,Scotland
Switzerland,Switzerland
Spain,Portugal
Switzerland,Switzerland
Finland,Sweden
Sweden,Sweden
Sweden,Sweden
Yugoslavia,Poland
Sweden,Sweden
Norway,Finland
Latvia,Poland
Poland,Poland
England,Northern Ireland
Switzerland,Switzerland
Switzerland,Switzerland
Scotland,Scotland
England,England
Austria,Spain
Austria,Portugal
Wales,England
Germany,Spain
Germany,Portugal
Northern Ireland,Northern Ireland
Scotland,England
Italy,Switzerland
Spain,Switzerland
Belgium,Switzerland
Egypt,Egypt
Sweden,Sweden
Denmark,Finland
Australia,New Zealand
Sweden,Sweden
Australia,New Zealand
Australia,New Zealand
Norway,Sweden
Germany,Poland
Sweden,Finland
Scotland,Scotland
Scotland,Northern Ireland
Austria,Switzerland
England,England
England,England
Wales,Scotland
Hungary,Switzerland
Scotland,Scotland
Germany,Switzerland
England,Sweden
Republic of Ireland,Switzerland
England,Finland
Basque Country,Poland
Sweden,Sweden
Sweden,Sweden
Poland,Poland
Germany,Finland
Romania,Poland
Estonia,Finland
Norway,Finland
Poland,Poland
Denmark,Sweden
Poland,Poland
Poland,Poland
El Salvador,El Salvador
England,Northern Ireland
Italy,Switzerland
Northern Ireland,Scotland
England,England
Portugal,Spain
England,England
Scotland,Scotland
Portugal,Portugal
Portugal,Portugal
Poland,Switzerland
Northern Ireland,Northern Ireland
Switzerland,Switzerland
Scotland,England
Belgium,Switzerland
Switzerland,Switzerland
Poland,Poland
Latvia,Sweden
Sweden,Sweden
Sweden,Finland
Czechoslovakia,Sweden
Finland,Finland
Finland,Finland
Yugoslavia,Poland
Norway,Sweden
Scotland,Northern Ireland
Norway,Poland
Switzerland,Switzerland
England,England
Scotland,Scotland
England,England
Scotland,Scotland
Argentina,Brazil
Brazil,Brazil
Switzerland,Portugal
Switzerland,Switzerland
England,Scotland
Switzerland,Switzerland
Belgium,Poland
Sweden,Sweden
Switzerland,Poland
Sweden,Sweden
Sweden,Sweden
Italy,Finland
Finland,Finland
Poland,Poland
Norway,Finland
Latvia,Finland
Sweden,Sweden
Switzerland,Switzerland
Argentina,Brazil
Argentina,Brazil
Uruguay,Brazil
Uruguay,Brazil
Croatia,Switzerland
Japan,Japan
Japan,Japan
Japan,Japan
Lithuania,Soviet Union
Sweden,Finland
Latvia,Soviet Union
Lithuania,Soviet Union
Estonia,Soviet Union
Sweden,Sweden
Denmark,Sweden
Lithuania,Soviet Union
Spain,Portugal
Spain,Spain
Switzerland,Switzerland
India,Afghanistan
Iran,Afghanistan
Denmark,Sweden
Germany,Finland
Sweden,Sweden
Hungary,Switzerland
Spain,Spain
Portugal,Portugal
Spain,Spain
Latvia,Soviet Union
Latvia,Soviet Union
Sweden,Sweden
Germany,Switzerland
Switzerland,Switzerland
Switzerland,Switzerland
Hungary,Switzerland
Sweden,Sweden
Hungary,Sweden
Hungary,Finland
Sweden,Finland
Costa Rica,El Salvador
Guatemala,El Salvador
Guatemala,El Salvador
El Salvador,El Salvador
El Salvador,El Salvador
Guatemala,El Salvador
El Salvador,El Salvador
Costa Rica,El Salvador
El Salvador,El Salvador
Guatemala,El Salvador
Costa Rica,El Salvador
Guatemala,El Salvador
Brazil,Brazil
Brazil,Brazil
Spain,Portugal
Switzerland,Switzerland
Spain,Spain
Switzerland,Switzerland
France,England
Sweden,Sweden
Lithuania,Soviet Union
Switzerland,Switzerland
Sweden,Sweden
